model_id,bbh_acc,math_acc,musr_acc,mmlu_pro_acc,bbh_sub_boolean_expressions,bbh_sub_causal_judgement,bbh_sub_date_understanding,bbh_sub_logical_deduction_five_objects,bbh_sub_logical_deduction_seven_objects,bbh_sub_logical_deduction_three_objects,bbh_sub_navigate,bbh_sub_object_counting,bbh_sub_penguins_in_a_table,bbh_sub_web_of_lies,score_variance,label
Triangle104/Mistral-Small-24b-Harmony,0.6422496094428051,0.1910876132930513,0.4272486772486772,0.5430518617021277,0.88,0.5989304812834224,0.808,0.568,0.492,0.804,0.692,0.44,0.6917808219178082,0.488,0.0291814027987635,0
EpistemeAI/Mistral-Nemo-Instruct-12B-Philosophy-Math,0.5342822426662038,0.0959214501510574,0.4285714285714285,0.3296210106382978,0.86,0.6042780748663101,0.604,0.44,0.508,0.716,0.656,0.412,0.5342465753424658,0.54,0.0263171849195698,0
Daemontatox/Sphinx2.0,0.6448533240756813,0.4018126888217522,0.4246031746031746,0.5183676861702128,0.892,0.6256684491978609,0.704,0.592,0.62,0.9,0.712,0.432,0.6986301369863014,0.544,0.0174602794569613,1
gradientai/Gradient-Llama-3.1-8B-Instruct-1048k,0.4546085749001909,0.1283987915407855,0.4312169312169312,0.3271276595744681,0.824,0.5882352941176471,0.504,0.36,0.384,0.5,0.552,0.356,0.5,0.488,0.0171489398396562,1
EpistemeAI2/Fireball-Alpaca-Llama3.1.07-8B-Philos-Math,0.4832494358618295,0.1200906344410876,0.4060846560846561,0.3530585106382978,0.836,0.5668449197860963,0.464,0.416,0.436,0.664,0.62,0.48,0.4931506849315068,0.54,0.0187498654581395,0
tensopolis/falcon3-10b-tensopolis-v2,0.6158653011629925,0.2666163141993957,0.4285714285714285,0.4424035904255319,0.876,0.6417112299465241,0.596,0.616,0.592,0.816,0.66,0.38,0.6027397260273972,0.536,0.0177513777575615,1
Weyaxi/Bagel-Hermes-2x34B,0.4907134178094081,0.0604229607250755,0.451058201058201,0.4588597074468085,0.716,0.5401069518716578,0.572,0.464,0.384,0.552,0.42,0.304,0.4315068493150685,0.488,0.0314740189883066,0
belztjti/dtfgv,0.3256379100850546,0.0181268882175226,0.3783068783068783,0.1504321808510638,0.596,0.5080213903743316,0.204,0.196,0.156,0.344,0.58,0.248,0.2123287671232876,0.488,0.0209733658355838,1
riaz/FineLlama-3.1-8B,0.4554764797778163,0.0513595166163142,0.3756613756613756,0.296376329787234,0.788,0.6149732620320856,0.516,0.36,0.28,0.42,0.612,0.372,0.4794520547945205,0.488,0.0229817506005726,0
T145/ZEUS-8B-V16,0.5247352890123242,0.2205438066465256,0.3941798941798942,0.3926196808510638,0.816,0.5721925133689839,0.484,0.38,0.292,0.584,0.644,0.384,0.5068493150684932,0.508,0.0128289782726615,0
Lunzima/NQLSG-Qwen2.5-14B-MegaFusion-v7,0.6514494011456344,0.4101208459214501,0.4828042328042328,0.5375664893617021,0.872,0.6096256684491979,0.68,0.62,0.624,0.912,0.724,0.512,0.6917808219178082,0.584,0.0117534919679661,1
prithivMLmods/Megatron-Corpus-14B-Exp,0.6332233987155008,0.3429003021148036,0.4761904761904761,0.5260139627659575,0.924,0.6684491978609626,0.656,0.612,0.596,0.936,0.668,0.512,0.6575342465753424,0.576,0.0143381040944183,1
YOYO-AI/Qwen2.5-14B-YOYO-latest-V2,0.6271480645721229,0.5158610271903323,0.4285714285714285,0.5223570478723404,0.904,0.6363636363636364,0.616,0.62,0.544,0.92,0.696,0.336,0.6506849315068494,0.544,0.0106966755657629,1
prithivMLmods/Megatron-Opus-14B-2.1,0.6708904704044437,0.2998489425981873,0.492063492063492,0.5173703457446809,0.92,0.6096256684491979,0.744,0.66,0.524,0.888,0.692,0.5,0.7671232876712328,0.532,0.0198759356009992,1
marcuscedricridia/fan-o1-7b,0.4832494358618295,0.161631419939577,0.3822751322751322,0.3273769946808511,0.868,0.5508021390374331,0.476,0.396,0.356,0.612,0.644,0.408,0.5068493150684932,0.496,0.0141570379039789,1
